"","hatchery","brood_year","run_year","tag_code","hatchery_location_name","release_location_name","age","tot_estnum","tot_N_rec","stray_ind","avg_FL","Total_N","rel_month","avg_day","dist_hatch_ocean","Cleaned.up.site.name","LAT","LONG","Category","Bay","dist_hatch","dist_ocean","dist_hatchR","Xchannel","flow.10","flow.1011","flow.911","flow.1011R","flow.J45","flow.J36","flow.J45R","flow_discrep","runoff","LH_Type","LH_Type2","rel_month2","rel_flow","delta_temp.1011","mean_PDO_retn","mean_PDO_outmig","PDO_discrep","runsize"
"21","coleman",2006,2009,501040802,"COLEMAN NFH","SAC R AT CLARKSBURG",3,9.15,5,1,58,24560,3,74,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"22","coleman",2006,2009,501040804,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",3,12.396,5.946,0.525976121329461,57,25951,3,74,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"23","coleman",2006,2009,53797,"COLEMAN NFH","COLEMAN NFH",3,3.02,3,0,73,236870,4,114,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Smolt","Smolt",4,413.5,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"24","coleman",2006,2009,501040801,"COLEMAN NFH","SAC R AT CLARKSBURG",3,4.04,4,1,56,23704,3,74,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,388.491803278689,390.368852459016,0.07180929236121,-165.83606557377,529,"Fry","Smolt",3,486.483870967742,59.6552744114754,-0.6125,-0.195833333333333,-0.416666666666667,9199
"25","coleman",2006,2010,501040802,"COLEMAN NFH","SAC R AT CLARKSBURG",4,9.2,1,1,58,24560,3,74,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,388.491803278689,390.368852459016,0.07180929236121,-116.540983606557,529,"Fry","Smolt",3,486.483870967742,60.3207086009836,-0.3125,-0.195833333333333,-0.116666666666667,23868
"26","coleman",2007,2009,501040907,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",2,6.041,6.001,0,55,25205,3,70,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Smolt",3,393.838709677419,59.6552744114754,-0.6125,-1.2925,0.68,9199
"27","coleman",2007,2009,54466,"COLEMAN NFH","COLEMAN NFH",2,27.484,17.944,0.237228933197497,77,892027,4,114.5,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Smolt","Smolt",4,398.2,59.6552744114754,-0.6125,-1.2925,0.68,9199
"28","coleman",2007,2009,54397,"COLEMAN NFH","SAN PABLO BAY NET PENS",2,5.01,5,1,83,443763,6,155.5,445.1022591,"Conoco Phillips Dock",38.0567,-122.2604,"BAY","BAY",481.246,39.733,1,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Smolt","Smolt",6,287.2,59.6552744114754,-0.6125,-1.2925,0.68,9199
"29","coleman",2007,2009,501040902,"COLEMAN NFH","SAC R AT CLARKSBURG",2,1.01,1,1,54,25549,3,63,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Fry",3,393.838709677419,59.6552744114754,-0.6125,-1.2925,0.68,9199
"30","coleman",2007,2009,501040903,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",2,8.927,5.957,0,54,25191,3,63,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Fry",3,393.838709677419,59.6552744114754,-0.6125,-1.2925,0.68,9199
"31","coleman",2007,2009,54398,"COLEMAN NFH","COLEMAN NFH",2,3.0055,2.9955,0,65,438067,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Smolt",4.5,425.491803278689,59.6552744114754,-0.6125,-1.2925,0.68,9199
"32","coleman",2007,2010,54469,"COLEMAN NFH","COLEMAN NFH",3,155.75,153.27,0,75,898670,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,425.491803278689,383.44262295082,0.100403082303062,-153.540983606557,529,"Smolt","Smolt",4.5,425.491803278689,60.3207086009836,-0.3125,-1.2925,0.98,23868
"33","coleman",2007,2010,501040904,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",3,60.168,27.998,0.581372157957718,54,25863,3,63,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,425.491803278689,383.44262295082,0.100403082303062,-153.540983606557,529,"Fry","Fry",3,393.838709677419,60.3207086009836,-0.3125,-1.2925,0.98,23868
"34","coleman",2007,2009,54395,"COLEMAN NFH","COLEMAN NFH",2,6.026,5.996,0,73,437185,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Smolt","Smolt",4.5,425.491803278689,59.6552744114754,-0.6125,-1.2925,0.68,9199
"35","coleman",2007,2010,54395,"COLEMAN NFH","COLEMAN NFH",3,39.45,38.96,0,73,437185,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,425.491803278689,383.44262295082,0.100403082303062,-153.540983606557,529,"Smolt","Smolt",4.5,425.491803278689,60.3207086009836,-0.3125,-1.2925,0.98,23868
"36","coleman",2007,2010,54464,"COLEMAN NFH","COLEMAN NFH",3,129.25,126.91,0,73,910137,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,425.491803278689,383.44262295082,0.100403082303062,-153.540983606557,529,"Smolt","Smolt",4.5,425.491803278689,60.3207086009836,-0.3125,-1.2925,0.98,23868
"37","coleman",2007,2010,54472,"COLEMAN NFH","COLEMAN NFH",3,272.34,248.18,0.0856282587941544,76,1386409,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,425.491803278689,383.44262295082,0.100403082303062,-153.540983606557,529,"Smolt","Smolt",4.5,425.491803278689,60.3207086009836,-0.3125,-1.2925,0.98,23868
"38","coleman",2007,2010,54468,"COLEMAN NFH","COLEMAN NFH",3,200.6,197.73,0,75,904894,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,425.491803278689,383.44262295082,0.100403082303062,-153.540983606557,529,"Smolt","Smolt",4.5,425.491803278689,60.3207086009836,-0.3125,-1.2925,0.98,23868
"39","coleman",2007,2010,54392,"COLEMAN NFH","SAN PABLO BAY NET PENS",3,33.22,5,1,82,367735,5,141,445.1022591,"Conoco Phillips Dock",38.0567,-122.2604,"BAY","BAY",481.246,39.733,1,30.0347222,257.774193548387,271.950819672131,253.505494505495,0.04287405278556,425.491803278689,383.44262295082,0.100403082303062,-153.540983606557,529,"Smolt","Smolt",5,451.903225806452,60.3207086009836,-0.3125,-1.2925,0.98,23868
"40","coleman",2007,2009,54392,"COLEMAN NFH","SAN PABLO BAY NET PENS",2,3.5202,3.5002,0.570990284642918,82,367735,5,141,445.1022591,"Conoco Phillips Dock",38.0567,-122.2604,"BAY","BAY",481.246,39.733,1,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Smolt","Smolt",5,451.903225806452,59.6552744114754,-0.6125,-1.2925,0.68,9199
