date,location,statistic,deg_f,watershed
2020-02-01T00:00:00Z,colemandam,max,50.1062375,battle creek
2020-02-01T00:00:00Z,colemandam,min,42.315087500000004,battle creek
2020-02-01T00:00:00Z,colemandam,dif,7.791149999999995,battle creek
2020-02-02T00:00:00Z,ubc,avg,49.04270164835165,battle creek
2020-02-02T00:00:00Z,ubc,max,51.5738,battle creek
2020-02-02T00:00:00Z,ubc,min,45.348087500000005,battle creek
2020-02-02T00:00:00Z,ubc,dif,6.225712499999993,battle creek
2020-02-02T00:00:00Z,wildcat,avg,48.42903125,battle creek
2020-02-02T00:00:00Z,wildcat,max,49.593275000000006,battle creek
2020-02-02T00:00:00Z,wildcat,min,45.7758125,battle creek
2020-02-02T00:00:00Z,wildcat,dif,3.817462500000005,battle creek
2020-02-02T00:00:00Z,colemandam,avg,46.5613175,battle creek
2020-02-02T00:00:00Z,colemandam,max,48.6473375,battle creek
2020-02-02T00:00:00Z,colemandam,min,43.936099999999996,battle creek
2020-02-02T00:00:00Z,colemandam,dif,4.711237500000003,battle creek
2020-02-03T00:00:00Z,ubc,avg,49.14908214285715,battle creek
2020-02-03T00:00:00Z,ubc,max,51.0854375,battle creek
2020-02-03T00:00:00Z,ubc,min,45.287525,battle creek
2020-02-03T00:00:00Z,ubc,dif,5.797912499999995,battle creek
2020-02-03T00:00:00Z,wildcat,avg,48.46430625000001,battle creek
2020-02-03T00:00:00Z,wildcat,max,50.2022375,battle creek
2020-02-03T00:00:00Z,wildcat,min,46.300625000000004,battle creek
2020-02-03T00:00:00Z,wildcat,dif,3.901612499999999,battle creek
2020-02-03T00:00:00Z,colemandam,avg,46.71628125,battle creek
2020-02-03T00:00:00Z,colemandam,max,48.7977875,battle creek
2020-02-03T00:00:00Z,colemandam,min,43.7603,battle creek
2020-02-03T00:00:00Z,colemandam,dif,5.0374874999999975,battle creek
2020-02-04T00:00:00Z,ubc,avg,47.91039285714286,battle creek
2020-02-04T00:00:00Z,ubc,max,52.16975,battle creek
2020-02-04T00:00:00Z,ubc,min,45.8059625,battle creek
2020-02-04T00:00:00Z,ubc,dif,6.363787500000001,battle creek
2020-02-04T00:00:00Z,wildcat,avg,47.4888375,battle creek
2020-02-04T00:00:00Z,wildcat,max,51.363425,battle creek
2020-02-04T00:00:00Z,wildcat,min,45.0621125,battle creek
2020-02-04T00:00:00Z,wildcat,dif,6.301312500000002,battle creek
2020-02-04T00:00:00Z,colemandam,avg,45.8914625,battle creek
2020-02-04T00:00:00Z,colemandam,max,49.64675,battle creek
2020-02-04T00:00:00Z,colemandam,min,42.9644,battle creek
2020-02-04T00:00:00Z,colemandam,dif,6.68235,battle creek
2020-02-05T00:00:00Z,ubc,avg,47.482662499999996,battle creek
2020-02-05T00:00:00Z,ubc,max,52.313975,battle creek
2020-02-05T00:00:00Z,ubc,min,44.408825,battle creek
2020-02-05T00:00:00Z,ubc,dif,7.905149999999999,battle creek
