month,year,habitat_sqm,scenario,lifestage,run
6,1991,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1992,10930.054294796571,baseline_action5_2026-03-01,spawn,winter
6,1993,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1994,6110.397380449434,baseline_action5_2026-03-01,spawn,winter
6,1995,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1996,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1997,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1998,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,1999,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
6,2000,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1979,9304.562078472734,baseline_action5_2026-03-01,spawn,winter
7,1980,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1981,8405.571816467653,baseline_action5_2026-03-01,spawn,winter
7,1982,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1983,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1984,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1985,9786.088559639044,baseline_action5_2026-03-01,spawn,winter
7,1986,6322.9700926795895,baseline_action5_2026-03-01,spawn,winter
7,1987,6398.853798596178,baseline_action5_2026-03-01,spawn,winter
7,1988,6624.731984538124,baseline_action5_2026-03-01,spawn,winter
7,1989,7729.647242936946,baseline_action5_2026-03-01,spawn,winter
7,1990,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1991,9302.018388965735,baseline_action5_2026-03-01,spawn,winter
7,1992,9031.639462714438,baseline_action5_2026-03-01,spawn,winter
7,1993,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1994,7904.430120958166,baseline_action5_2026-03-01,spawn,winter
7,1995,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1996,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1997,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1998,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,1999,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
7,2000,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1979,9849.958004636703,baseline_action5_2026-03-01,spawn,winter
8,1980,9067.437446997768,baseline_action5_2026-03-01,spawn,winter
8,1981,6311.043765943487,baseline_action5_2026-03-01,spawn,winter
8,1982,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1983,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1984,6624.853631812628,baseline_action5_2026-03-01,spawn,winter
8,1985,7161.490440817771,baseline_action5_2026-03-01,spawn,winter
8,1986,9529.798342733096,baseline_action5_2026-03-01,spawn,winter
8,1987,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1988,9280.590748444884,baseline_action5_2026-03-01,spawn,winter
8,1989,9173.992286135113,baseline_action5_2026-03-01,spawn,winter
8,1990,6194.807901822653,baseline_action5_2026-03-01,spawn,winter
8,1991,8181.233555378807,baseline_action5_2026-03-01,spawn,winter
8,1992,9069.514585100205,baseline_action5_2026-03-01,spawn,winter
8,1993,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1994,7088.699879944008,baseline_action5_2026-03-01,spawn,winter
8,1995,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1996,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1997,7243.0279687690145,baseline_action5_2026-03-01,spawn,winter
8,1998,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
8,1999,6964.821880916582,baseline_action5_2026-03-01,spawn,winter
8,2000,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1979,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1980,8639.724075714445,baseline_action5_2026-03-01,spawn,winter
9,1981,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1982,6228.554620698939,baseline_action5_2026-03-01,spawn,winter
9,1983,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1984,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1985,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1986,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1987,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1988,6411.473630697909,baseline_action5_2026-03-01,spawn,winter
9,1989,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1990,6359.984037423894,baseline_action5_2026-03-01,spawn,winter
9,1991,7202.692479397313,baseline_action5_2026-03-01,spawn,winter
9,1992,8312.098596435058,baseline_action5_2026-03-01,spawn,winter
9,1993,8431.5265310048635,baseline_action5_2026-03-01,spawn,winter
9,1994,7299.7746168883605,baseline_action5_2026-03-01,spawn,winter
9,1995,7423.899798843211,baseline_action5_2026-03-01,spawn,winter
9,1996,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1997,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1998,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,1999,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
9,2000,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1979,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1980,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1981,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1982,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1983,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1984,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1985,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1986,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1987,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1988,6127.191724405097,baseline_action5_2026-03-01,spawn,winter
10,1989,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1990,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1991,7236.584605882137,baseline_action5_2026-03-01,spawn,winter
10,1992,8089.414378589698,baseline_action5_2026-03-01,spawn,winter
10,1993,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
10,1994,6799.438624486107,baseline_action5_2026-03-01,spawn,winter
10,1995,6080.703938163678,baseline_action5_2026-03-01,spawn,winter
